date,cases,deaths
1976-08-25,1,0
1976-08-26,0,0
1976-08-27,0,0
1976-08-28,0,0
1976-08-29,0,0
1976-08-30,0,0
1976-08-31,0,0
1976-09-01,1,0
1976-09-02,1,0
1976-09-03,1,0
1976-09-04,4,0
1976-09-05,1,0
1976-09-06,1,0
1976-09-07,3,0
1976-09-08,2,1
1976-09-09,7,2
1976-09-10,9,1
1976-09-11,4,3
1976-09-12,8,1
1976-09-13,9,2
1976-09-14,8,1
1976-09-15,9,8
1976-09-16,6,4
1976-09-17,6,3
1976-09-18,3,5
1976-09-19,8,8
1976-09-20,10,6
1976-09-21,5,6
1976-09-22,16,10
1976-09-23,12,3
1976-09-24,11,7
1976-09-25,11,8
1976-09-26,7,11
1976-09-27,7,7
1976-09-28,4,13
1976-09-29,4,12
1976-09-30,3,9
1976-10-01,7,9
1976-10-02,2,7
1976-10-03,3,6
1976-10-04,8,8
1976-10-05,5,6
1976-10-06,7,2
1976-10-07,5,6
1976-10-08,2,4
1976-10-09,3,3
1976-10-10,4,2
1976-10-11,3,6
1976-10-12,6,4
1976-10-13,2,6
1976-10-14,1,7
1976-10-15,0,7
1976-10-16,0,2
1976-10-17,0,4
1976-10-18,1,1
1976-10-19,1,1
1976-10-20,2,4
1976-10-21,0,1
1976-10-22,0,1
1976-10-23,0,0
1976-10-24,1,0
1976-10-25,0,0
1976-10-26,0,2
1976-10-27,0,0
1976-10-28,0,2
1976-10-29,0,1
1976-10-30,0,0
1976-10-31,0,0
1976-11-01,0,0
1976-11-02,0,0
1976-11-03,0,0
1976-11-04,0,0
1976-11-05,0,1
